变量名,类型,说明,缺失数,缺失比例(%)
lsoa_code,标识符,LSOA21代码,,
dpi_score,数值型,,0.0,0.00
imd_score,数值型,,0.0,0.00
imd_income_score,数值型,,0.0,0.00
imd_employ_score,数值型,,0.0,0.00
imd_edu_score,数值型,,0.0,0.00
imd_health_score,数值型,,0.0,0.00
imd_crime_score,数值型,,0.0,0.00
imd_barriers_score,数值型,,0.0,0.00
imd_livenv_score,数值型,,0.0,0.00
imd_pop2015,数值型,,0.0,0.00
bb_q_dl_core,数值型,,0.0,0.00
bb_q_ul_core,数值型,,0.0,0.00
bb_q_sfu_core,数值型,,0.0,0.00
crime_count_window,数值型,,0.0,0.00
crime_rate_per_1000_window,数值型,,0.0,0.00
crime_rate_per_1000_window_log1p,数值型,,0.0,0.00
pct_no_qual,数值型,,0.0,0.00
pct_level4plus,数值型,,0.0,0.00
pct_low_skill,数值型,,0.0,0.00
risk_edu_low,数值型,,0.0,0.00
risk_edu_highskill_inverse,数值型,,0.0,0.00
pct_disabled,数值型,,0.0,0.00
pct_limited_a_lot,数值型,,0.0,0.00
pct_limited_a_little,数值型,,0.0,0.00
pct_long_term_not_limited,数值型,,0.0,0.00
pct_no_long_term_condition,数值型,,0.0,0.00
risk_disability_limited,数值型,,0.0,0.00
fuel_poverty_pct,数值型,,0.0,0.00
risk_fuel_poverty,数值型,,0.0,0.00
rDERI_score_0_10,数值型,,0.0,0.00
rDERI_decile,数值型,,154.0,3.20
broadband_score_z,数值型,,154.0,3.20
deprivation_score_z,数值型,,154.0,3.20
demography_score_z,数值型,,154.0,3.20
